Model,TBS2102B
Firmware Version,v1.31.14

Point Format,Y,
1.088e-02,-1.48,-0.38
1.090e-02,-1.44,-0.38
1.091e-02,-1.4,-0.36
1.093e-02,-1.36,-0.34
1.094e-02,-1.32,-0.34
1.096e-02,-1.2,-0.3
1.098e-02,-1.12,-0.28
1.099e-02,-1.04,-0.26
1.101e-02,-0.92,-0.24
1.102e-02,-0.8,-0.22
1.104e-02,-0.68,-0.2
1.106e-02,-0.56,-0.16
1.107e-02,-0.48,-0.14
1.109e-02,-0.36,-0.12
1.110e-02,-0.28,-0.08
1.112e-02,-0.2,-0.06
1.114e-02,-0.12,-0.04
1.115e-02,-0.08,0
1.117e-02,-0.04,0.02
1.118e-02,-0.04,0.06
1.120e-02,0,0.1
1.122e-02,0.04,0.14
1.123e-02,0.04,0.18
1.125e-02,0,0.22
1.126e-02,-0.04,0.28
1.128e-02,-0.04,0.32
1.130e-02,-0.16,0.38
1.131e-02,-0.24,0.42
1.133e-02,-0.36,0.46
1.134e-02,-0.48,0.52
1.136e-02,-0.6,0.58
1.138e-02,-0.72,0.64
1.139e-02,-0.88,0.7
1.141e-02,-1.04,0.76
1.142e-02,-1.2,0.8
1.144e-02,-1.24,0.86
1.146e-02,-1.32,0.9
1.147e-02,-1.36,0.96
1.149e-02,-1.32,0.98
1.150e-02,-1.24,1.02
1.152e-02,-1.08,1.02
1.154e-02,-0.8,1.02
1.155e-02,-0.52,1.02
1.157e-02,-0.2,1
1.158e-02,0.24,0.96
1.160e-02,0.68,0.88
1.162e-02,1.04,0.8
1.163e-02,1.44,0.7
1.165e-02,1.76,0.6
1.166e-02,2.04,0.48
1.168e-02,2.2,0.38
1.170e-02,2.32,0.24
1.171e-02,2.44,0.12
1.173e-02,2.44,0
1.174e-02,2.44,-0.14
1.176e-02,2.44,-0.24
1.178e-02,2.4,-0.36
1.179e-02,2.4,-0.46
1.181e-02,2.36,-0.58
1.182e-02,2.4,-0.68
1.184e-02,2.44,-0.78
1.186e-02,2.32,-0.88
1.187e-02,2.32,-0.96
1.189e-02,2.28,-1.04
1.190e-02,2.08,-1.1
1.192e-02,1.88,-1.16
1.194e-02,1.64,-1.22
1.195e-02,1.24,-1.26
1.197e-02,0.84,-1.26
1.198e-02,0.4,-1.26
1.200e-02,-0.04,-1.24
1.202e-02,-0.48,-1.2
1.203e-02,-0.8,-1.14
1.205e-02,-1.08,-1.08
1.206e-02,-1.24,-1.02
1.208e-02,-1.28,-0.94
1.210e-02,-1.16,-0.88
1.211e-02,-0.88,-0.82
1.213e-02,-0.6,-0.76
1.214e-02,-0.28,-0.72
1.216e-02,0.08,-0.68
1.218e-02,0.48,-0.66
1.219e-02,0.84,-0.62
1.221e-02,1.16,-0.6
1.222e-02,1.48,-0.6
1.224e-02,1.76,-0.6
1.226e-02,2,-0.6
1.227e-02,2.12,-0.6
1.229e-02,2.28,-0.6
1.230e-02,2.36,-0.6
1.232e-02,2.4,-0.62
1.234e-02,2.4,-0.6
1.235e-02,2.4,-0.58
1.237e-02,2.28,-0.56
1.238e-02,2.16,-0.52
1.240e-02,2,-0.5
1.242e-02,1.84,-0.46
1.243e-02,1.64,-0.44
1.245e-02,1.44,-0.38
1.246e-02,1.2,-0.32
1.248e-02,1,-0.26
1.250e-02,0.84,-0.2
1.251e-02,0.68,-0.14
1.253e-02,0.48,-0.08
1.254e-02,0.32,-0.02
1.256e-02,0.24,0.02
1.258e-02,0.16,0.08
1.259e-02,0.04,0.14
1.261e-02,0.04,0.16
1.262e-02,0.08,0.2
1.264e-02,0.08,0.24
1.266e-02,0.08,0.26
1.267e-02,0.2,0.26
1.269e-02,0.32,0.26
1.270e-02,0.36,0.26
1.272e-02,0.48,0.24
1.274e-02,0.6,0.22
1.275e-02,0.76,0.18
1.277e-02,0.84,0.14
1.278e-02,0.96,0.08
1.280e-02,1.08,0.02
1.282e-02,1.08,-0.02
1.283e-02,1.16,-0.1
1.285e-02,1.24,-0.18
1.286e-02,1.2,-0.22
1.288e-02,1.16,-0.3
1.290e-02,1.16,-0.36
1.291e-02,1.12,-0.44
1.293e-02,0.96,-0.5
1.294e-02,0.84,-0.56
1.296e-02,0.64,-0.62
1.298e-02,0.48,-0.66
1.299e-02,0.28,-0.68
1.301e-02,0,-0.72
1.302e-02,-0.24,-0.72
1.304e-02,-0.48,-0.74
1.306e-02,-0.68,-0.74
1.307e-02,-0.96,-0.72
1.309e-02,-1.12,-0.7
1.310e-02,-1.24,-0.66
1.312e-02,-1.36,-0.64
1.314e-02,-1.4,-0.6
1.315e-02,-1.44,-0.56
1.317e-02,-1.36,-0.52
1.318e-02,-1.24,-0.48
1.320e-02,-1.12,-0.44
1.322e-02,-0.96,-0.42
1.323e-02,-0.8,-0.38
1.325e-02,-0.56,-0.38
1.326e-02,-0.4,-0.34
1.328e-02,-0.24,-0.3
1.330e-02,0,-0.28
1.331e-02,0.16,-0.28
1.333e-02,0.32,-0.24
1.334e-02,0.48,-0.24
1.336e-02,0.64,-0.22
1.338e-02,0.8,-0.2
1.339e-02,0.88,-0.18
1.341e-02,0.96,-0.16
1.342e-02,1.08,-0.14
1.344e-02,1.2,-0.12
1.346e-02,1.28,-0.1
1.347e-02,1.36,-0.08
1.349e-02,1.44,-0.06
1.350e-02,1.48,-0.04
1.352e-02,1.52,-0.02
1.354e-02,1.56,-0.02
1.355e-02,1.6,0
1.357e-02,1.64,0
1.358e-02,1.64,0.02
1.360e-02,1.68,0.04
1.362e-02,1.68,0.06
1.363e-02,1.68,0.06
1.365e-02,1.64,0.06
1.366e-02,1.68,0.06
1.368e-02,1.68,0.06
1.370e-02,1.6,0.06
1.371e-02,1.6,0.06
1.373e-02,1.6,0.06
1.374e-02,1.6,0.04
1.376e-02,1.56,0.02
1.378e-02,1.56,0
1.379e-02,1.52,-0.02
1.381e-02,1.52,-0.04
1.382e-02,1.48,-0.06
1.384e-02,1.48,-0.1
1.386e-02,1.52,-0.14
1.387e-02,1.52,-0.18
1.389e-02,1.52,-0.22
1.390e-02,1.6,-0.3
1.392e-02,1.68,-0.36
1.394e-02,1.72,-0.4
1.395e-02,1.8,-0.46
1.397e-02,1.88,-0.56
1.398e-02,2,-0.6
1.400e-02,2.08,-0.68
1.402e-02,2.16,-0.78
1.403e-02,2.24,-0.86
1.405e-02,2.32,-0.92
1.406e-02,2.28,-1.02
1.408e-02,2.28,-1.08
1.410e-02,2.12,-1.14
1.411e-02,1.96,-1.22
1.413e-02,1.72,-1.26
1.414e-02,1.32,-1.3
1.416e-02,0.88,-1.3
1.418e-02,0.44,-1.3
1.419e-02,0,-1.3
1.421e-02,-0.44,-1.26
1.422e-02,-0.8,-1.2
1.424e-02,-1.08,-1.14
1.426e-02,-1.2,-1.08
1.427e-02,-1.2,-1
1.429e-02,-1.04,-0.96
1.430e-02,-0.8,-0.9
1.432e-02,-0.44,-0.86
1.434e-02,-0.12,-0.82
1.435e-02,0.28,-0.78
1.437e-02,0.68,-0.76
1.438e-02,1.08,-0.78
1.440e-02,1.44,-0.76
1.442e-02,1.76,-0.76
1.443e-02,1.96,-0.78
1.445e-02,2.2,-0.78
1.446e-02,2.32,-0.78
1.448e-02,2.36,-0.8
1.450e-02,2.32,-0.78
1.451e-02,2.28,-0.8
1.453e-02,2.16,-0.76
1.454e-02,1.92,-0.72
1.456e-02,1.64,-0.68
1.458e-02,1.4,-0.64
1.459e-02,1.08,-0.58
1.461e-02,0.76,-0.5
1.462e-02,0.44,-0.42
1.464e-02,0.16,-0.32
1.466e-02,-0.08,-0.24
1.467e-02,-0.36,-0.14
1.469e-02,-0.56,-0.04
1.470e-02,-0.72,0.04
1.472e-02,-0.76,0.14
1.474e-02,-0.84,0.22
1.475e-02,-0.92,0.32
1.477e-02,-0.92,0.4
1.478e-02,-0.84,0.48
1.480e-02,-0.8,0.52
1.482e-02,-0.72,0.56
1.483e-02,-0.52,0.62
1.485e-02,-0.36,0.62
1.486e-02,-0.16,0.64
1.488e-02,0.12,0.62
1.490e-02,0.36,0.62
1.491e-02,0.6,0.58
1.493e-02,0.88,0.54
1.494e-02,1.2,0.48
1.496e-02,1.36,0.42
1.498e-02,1.56,0.32
1.499e-02,1.8,0.24
1.501e-02,1.96,0.14
1.502e-02,2.04,0.04
1.504e-02,2.16,-0.04
1.506e-02,2.24,-0.14
1.507e-02,2.24,-0.26
1.509e-02,2.28,-0.34
1.510e-02,2.24,-0.46
1.512e-02,2.24,-0.56
1.514e-02,2.16,-0.64
1.515e-02,2.08,-0.72
1.517e-02,1.92,-0.82
1.518e-02,1.76,-0.88
1.520e-02,1.52,-0.94
1.522e-02,1.24,-1
1.523e-02,0.88,-1.04
1.525e-02,0.52,-1.06
1.526e-02,0.16,-1.04
1.528e-02,-0.2,-1.04
1.530e-02,-0.56,-1.04
1.531e-02,-0.88,-1
1.533e-02,-1.12,-0.96
1.534e-02,-1.24,-0.92
1.536e-02,-1.32,-0.86
1.538e-02,-1.28,-0.82
1.539e-02,-1.16,-0.76
1.541e-02,-0.92,-0.7
1.542e-02,-0.72,-0.68
1.544e-02,-0.4,-0.64
1.546e-02,-0.08,-0.62
1.547e-02,0.28,-0.6
1.549e-02,0.56,-0.6
1.550e-02,0.88,-0.58
1.552e-02,1.2,-0.58
1.554e-02,1.48,-0.58
1.555e-02,1.68,-0.6
1.557e-02,1.88,-0.6
1.558e-02,2.08,-0.6
1.560e-02,2.2,-0.62
1.562e-02,2.28,-0.62
1.563e-02,2.36,-0.64
1.565e-02,2.44,-0.6
1.566e-02,2.4,-0.62
1.568e-02,2.28,-0.58
1.570e-02,2.24,-0.56
1.571e-02,2.04,-0.54
1.573e-02,1.92,-0.5
1.574e-02,1.68,-0.46
1.576e-02,1.52,-0.42
1.578e-02,1.28,-0.36
1.579e-02,1.12,-0.32
1.581e-02,0.84,-0.24
1.582e-02,0.64,-0.18
1.584e-02,0.48,-0.12
1.586e-02,0.36,-0.06
1.587e-02,0.2,0
1.589e-02,0.04,0.06
1.590e-02,0,0.12
1.592e-02,0,0.18
1.594e-02,-0.08,0.22
1.595e-02,0,0.26
1.597e-02,0.04,0.28
1.598e-02,0.08,0.32

